"town","landUse","status","acres"
"ChicagoRidge","utility","canopy",2.26
"ChicagoRidge","vacant","canopy",13.74
"ChicagoRidge","water","canopy",2.83
"Cicero","agriculture","canopy",0
"Cicero","cemetery","canopy",0
"Cicero","commercial","canopy",17.38
"Cicero","golf","canopy",0
"Cicero","industrial","canopy",0
"Cicero","institutional","canopy",8.79
"Cicero","natural area","canopy",0
"Cicero","other","canopy",0.01
"Cicero","park","canopy",6.24
"Cicero","residential","canopy",149.36
"Cicero","transit","canopy",242.97
"Cicero","utility","canopy",0.47
"Cicero","vacant","canopy",11.13
"Cicero","water","canopy",0.02
"ClarendonHills","agriculture","canopy",0
"ClarendonHills","cemetery","canopy",0
"ClarendonHills","commercial","canopy",4.63
"ClarendonHills","golf","canopy",31.01
"ClarendonHills","industrial","canopy",0
"ClarendonHills","institutional","canopy",4.55
"ClarendonHills","natural area","canopy",0
"ClarendonHills","other","canopy",0
"ClarendonHills","park","canopy",8.57
"ClarendonHills","residential","canopy",265.1
"ClarendonHills","transit","canopy",100.02
"ClarendonHills","utility","canopy",0.22
"ClarendonHills","vacant","canopy",1.32
"ClarendonHills","water","canopy",0.07
"CountryClubHills","agriculture","canopy",2.02
"CountryClubHills","cemetery","canopy",0
"CountryClubHills","commercial","canopy",7.2
"CountryClubHills","golf","canopy",0
"CountryClubHills","industrial","canopy",0
"CountryClubHills","institutional","canopy",24.67
"CountryClubHills","natural area","canopy",11.1
"CountryClubHills","other","canopy",0.28
"CountryClubHills","park","canopy",5.47
"CountryClubHills","residential","canopy",398.8
"CountryClubHills","transit","canopy",140.78
"CountryClubHills","utility","canopy",2.65
"CountryClubHills","vacant","canopy",11.75
"CountryClubHills","water","canopy",0.4
"Countryside","agriculture","canopy",0
"Countryside","cemetery","canopy",0.02
"Countryside","commercial","canopy",17.5
"Countryside","golf","canopy",10.99
"Countryside","industrial","canopy",0
"Countryside","institutional","canopy",2.24
"Countryside","natural area","canopy",329.35
"Countryside","other","canopy",0.07
"Countryside","park","canopy",2.08
"Countryside","residential","canopy",256.24
"Countryside","transit","canopy",68.83
"Countryside","utility","canopy",0.26
"Countryside","vacant","canopy",17.31
"Countryside","water","canopy",0
"CrestHill","agriculture","canopy",19.83
"CrestHill","cemetery","canopy",2.51
"CrestHill","commercial","canopy",35.14
"CrestHill","golf","canopy",4.27
"CrestHill","industrial","canopy",0
"CrestHill","institutional","canopy",51.2
"CrestHill","natural area","canopy",39.86
"CrestHill","other","canopy",3.1
"CrestHill","park","canopy",9.05
"CrestHill","residential","canopy",191.36
"CrestHill","transit","canopy",59.39
"CrestHill","utility","canopy",19.4
"CrestHill","vacant","canopy",75.51
"CrestHill","water","canopy",1.55
"Crestwood","agriculture","canopy",4.85
"Crestwood","cemetery","canopy",4.47
"Crestwood","commercial","canopy",23.89
"Crestwood","golf","canopy",0.25
"Crestwood","industrial","canopy",0
"Crestwood","institutional","canopy",24.23
"Crestwood","natural area","canopy",1.16
"Crestwood","other","canopy",0.92
"Crestwood","park","canopy",4.72
"Crestwood","residential","canopy",207.5
"Crestwood","transit","canopy",56.81
"Crestwood","utility","canopy",8.52
"Crestwood","vacant","canopy",31.37
"Crestwood","water","canopy",12.48
"Crete","agriculture","canopy",216.99
"Crete","cemetery","canopy",1.16
"Crete","commercial","canopy",41.49
"Crete","golf","canopy",103.91
"Crete","industrial","canopy",0
"Crete","institutional","canopy",59.06
"Crete","natural area","canopy",13.67
"Crete","other","canopy",60.14
"Crete","park","canopy",20.18
"Crete","residential","canopy",443.68
"Crete","transit","canopy",114.66
"Crete","utility","canopy",12.51
"Crete","vacant","canopy",288.38
"Crete","water","canopy",1.15
"CrystalLake","agriculture","canopy",238.68
"CrystalLake","cemetery","canopy",4.33
"CrystalLake","commercial","canopy",189.67
"CrystalLake","golf","canopy",48.09
"CrystalLake","industrial","canopy",0
"CrystalLake","institutional","canopy",92.59
"CrystalLake","natural area","canopy",244.65
"CrystalLake","other","canopy",0
"CrystalLake","park","canopy",173.17
"CrystalLake","residential","canopy",1279.94
"CrystalLake","transit","canopy",445.44
"CrystalLake","utility","canopy",10.21
"CrystalLake","vacant","canopy",358.37
"CrystalLake","water","canopy",6.6
"CrystalLawns","agriculture","canopy",1.38
"CrystalLawns","cemetery","canopy",0
"CrystalLawns","commercial","canopy",2.53
"CrystalLawns","golf","canopy",0
